latency(ns),dynamic energy(pJ),idle energy(pJ),comment
0.5,0.2751,0.000216649,32-bit counter
1,0.25074,0.0003213,
2,0.21462,0.0001932,
3,0.21441,0.0002625,
4,0.211092,0.0003303,
5,0.206325,0.000406,
6,0.206682,0.0004053,
10,0.20678,0.0006377,
