latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
1,3.53E+01,1.20E-01,0.3595236,this is a 3 stage floating point single precision multiplier
2,2.97E+01,5.94E-02,0.3565266,this is a 3 stage floating point single precision multiplier
3,2.78E+01,4.94E-02,0.44451243,this is a 3 stage floating point single precision multiplier
4,2.52E+01,4.50E-02,0.54034944,this is a 3 stage floating point single precision multiplier
5,2.44E+01,4.22E-02,0.63237915,this is a 3 stage floating point single precision multiplier
6,2.42E+01,4.20E-02,0.75571938,this is a 3 stage floating point single precision multiplier
10,2.66E+01,4.48E-02,1.3429701,this is a 3 stage floating point single precision multiplier
