latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
1,16.679,0.053,0.159,this is a three stage single precision adder
2,11.026,0.021,0.129,this is a three stage single precision adder
3,10.584,0.020,0.182,this is a three stage single precision adder
4,7.894,0.016,0.189,this is a three stage single precision adder
5,7.928,0.015,0.228,this is a three stage single precision adder
6,7.928,0.015,0.273,this is a three stage single precision adder
10,7.701,0.015,0.458,this is a three stage single precision adder
