latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
1,0.41700,0.00170,0.002,this is a 1 stage shifter
2,0.40700,0.00171,0.003,this is a 1 stage shifter
3,0.42200,0.00178,0.005,this is a 1 stage shifter
4,0.42000,0.00173,0.007,this is a 1 stage shifter
5,0.41652,0.00169,0.008,this is a 1 stage shifter
6,0.41783,0.00170,0.010,this is a 1 stage shifter
10,0.41506,0.00170,0.017,this is a 1 stage shifter
