latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
0.5,69.769,0.351,0.527,this is a 3 stage floating point double precision multiplier
1,113.763,0.276,0.829,this is a 3 stage floating point double precision multiplier
2,103.936,0.195,1.169,this is a 3 stage floating point double precision multiplier
3,95.553,0.153,1.379,this is a 3 stage floating point double precision multiplier
4,94.905,0.151,1.814,this is a 3 stage floating point double precision multiplier
5,92.938,0.140,2.103,this is a 3 stage floating point double precision multiplier
6,90.596,0.135,2.427,this is a 3 stage floating point double precision multiplier
10,86.565,0.123,3.697,this is a 3 stage floating point double precision multiplier
