latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
1,0.009,7E-05,7E-05,this is a 1 stage register
2,0.00901,7E-05,0.00015,this is a 1 stage register
3,0.00901,7E-05,0.00022,this is a 1 stage register
4,0.009,7E-05,0.0003,this is a 1 stage register
5,0.009,7E-05,0.00037,this is a 1 stage register
6,0.00901,7E-05,0.00044,this is a 1 stage register
10,0.00554,7E-05,0.00074,this is a 1 stage register
