latency(ns),dynamic energy(pJ),leakage power(mW),idle energy(pJ),comment
0.5,18.94,0.11,0.15,this is a 3 stage fixed point multiplier
1,12.68,0.08,0.08,this is a 1 stage fixed point multiplier
2,9.55,0.05,0.1,this is a 1 stage fixed point multiplier
3,8.8,0.05,0.14,this is a 1 stage fixed point multiplier
4,8.66,0.05,0.19,this is a 1 stage fixed point multiplier
5,8.63,0.05,0.24,this is a 1 stage fixed point multiplier
6,8.63,0.05,0.29,this is a 1 stage fixed point multiplier
10,8.8,0.05,0.48,this is a 1 stage fixed point multiplier
